Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_oregano,Test_Overall,Test_cloves,Test_cumin,Test_oregano,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]","['diff_data_like', 'highpass_fft_batch']",89.03,81.47,91.61,94.18,82.99,67.52,93.86,88.46,"[cumin.real.9511a582c32f.csv] cloves:152, cumin:162, oregano:69 → cumin (162 / 383) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:16, cumin:367, oregano:0 → cumin (367 / 383) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:112, oregano:3 → cumin (112 / 115) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:36, cumin:9, oregano:70 → oregano (70 / 115) ❌",0.437,6.04,6.04
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'highpass_fft_batch']",98.21,100.0,98.0,96.69,86.84,95.0,94.87,68.57,"[cumin.real.9511a582c32f.csv] cloves:28, cumin:72, oregano:28 → cumin (72 / 128) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:70, cumin:58, oregano:0 → cloves (70 / 128) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:39, oregano:0 → cumin (39 / 39) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:27, cumin:0, oregano:12 → cloves (27 / 39) ✅",0.427,11.37,11.37
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",90.18,87.84,84.72,97.44,89.09,84.21,94.74,88.24,"[cumin.real.9511a582c32f.csv] cloves:2, cumin:61, oregano:0 → cumin (61 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:63, cumin:0, oregano:0 → cloves (63 / 63) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:14, cumin:4, oregano:1 → cloves (14 / 19) ✅",0.426,1.09,1.09
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",100.0,100.0,100.0,100.0,87.16,100.0,100.0,58.82,"[cumin.real.9511a582c32f.csv] cloves:42, cumin:85, oregano:0 → cumin (85 / 127) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:113, cumin:14, oregano:0 → cloves (113 / 127) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:35, oregano:2 → cumin (35 / 37) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:35, cumin:2, oregano:0 → cloves (35 / 37) ✅",0.418,12.84,12.84
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",100.0,100.0,100.0,100.0,90.35,100.0,97.44,71.43,"[cumin.real.9511a582c32f.csv] cloves:11, cumin:117, oregano:0 → cumin (117 / 128) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:128, cumin:0, oregano:0 → cloves (128 / 128) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:39, oregano:0 → cumin (39 / 39) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:29, cumin:10, oregano:0 → cloves (29 / 39) ✅",0.414,9.65,9.65
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like']",97.75,98.92,99.14,95.11,73.73,96.58,96.49,23.08,"[cumin.real.9511a582c32f.csv] cloves:66, cumin:309, oregano:8 → cumin (309 / 383) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:342, cumin:40, oregano:1 → cloves (342 / 383) ❌ | [cumin.24c868eadb47.csv] cloves:1, cumin:114, oregano:0 → cumin (114 / 115) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:81, cumin:13, oregano:21 → cloves (81 / 115) ✅",0.402,24.02,24.02
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",100.0,100.0,100.0,100.0,81.93,100.0,100.0,42.31,"[cumin.real.9511a582c32f.csv] cloves:28, cumin:66, oregano:2 → cumin (66 / 96) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:96, cumin:0, oregano:0 → cloves (96 / 96) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:28, oregano:1 → cumin (28 / 29) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:27, cumin:2, oregano:0 → cloves (27 / 29) ✅",0.396,18.07,18.07
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",89.17,97.4,91.85,77.95,87.46,88.03,94.74,78.85,"[cumin.real.9511a582c32f.csv] cloves:216, cumin:113, oregano:54 → cloves (216 / 383) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:121, cumin:250, oregano:12 → cumin (250 / 383) ✅ | [cumin.24c868eadb47.csv] cloves:3, cumin:110, oregano:2 → cumin (110 / 115) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:60, cumin:8, oregano:47 → cloves (60 / 115) ✅",0.392,1.71,1.71
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],95.09,100.0,95.77,89.74,74.55,89.47,100.0,29.41,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:44, oregano:19 → cumin (44 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:63, cumin:0, oregano:0 → cloves (63 / 63) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:16, cumin:2, oregano:1 → cloves (16 / 19) ✅",0.385,20.54,20.54
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",100.0,100.0,100.0,100.0,96.33,97.37,100.0,91.18,"[cumin.real.9511a582c32f.csv] cloves:49, cumin:78, oregano:0 → cumin (78 / 127) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:127, cumin:0, oregano:0 → cloves (127 / 127) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:37, oregano:0 → cumin (37 / 37) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:34, cumin:3, oregano:0 → cloves (34 / 37) ✅",0.383,3.67,3.67
