Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_oregano,Test_Overall,Test_cloves,Test_cumin,Test_oregano,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like']",99.33,99.35,98.71,100.0,83.49,94.74,100.0,52.94,"[cumin.real.9511a582c32f.csv] cloves:46, cumin:81, oregano:0 → cumin (81 / 127) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:84, cumin:41, oregano:2 → cloves (84 / 127) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:127, cumin:0, oregano:0 → cloves (127 / 127) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:36, oregano:1 → cumin (36 / 37) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:19, cumin:0, oregano:18 → cloves (19 / 37) ✅",0.357,15.84,15.84
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'highpass_fft_batch']",95.54,99.32,98.68,88.67,77.19,95.0,97.44,34.29,"[cumin.real.9511a582c32f.csv] cloves:16, cumin:61, oregano:51 → cumin (61 / 128) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:77, cumin:29, oregano:22 → cloves (77 / 128) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:128, cumin:0, oregano:0 → cloves (128 / 128) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:39, oregano:0 → cumin (39 / 39) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:27, cumin:1, oregano:11 → cloves (27 / 39) ✅",0.354,18.35,18.35
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",68.75,11.11,77.78,100.0,86.67,60.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:13, oregano:6 → cumin (13 / 19) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:0, cumin:10, oregano:9 → cumin (10 / 19) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:18, oregano:1 → cumin (18 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:4, oregano:1 → cumin (4 / 5) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:1, cumin:2, oregano:2 → cumin (2 / 5) ❌",0.301,-17.92,17.92
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",88.37,90.52,92.24,82.14,82.99,77.78,94.74,75.96,"[cumin.real.9511a582c32f.csv] cloves:200, cumin:121, oregano:62 → cloves (200 / 383) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:223, cumin:106, oregano:54 → cloves (223 / 383) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:383, oregano:0 → cumin (383 / 383) ✅ | [cumin.24c868eadb47.csv] cloves:3, cumin:107, oregano:5 → cumin (107 / 115) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:46, cumin:9, oregano:60 → oregano (60 / 115) ❌",0.294,5.38,5.38
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'highpass_fft_batch']",94.03,95.73,97.62,88.07,81.61,80.0,96.67,66.67,"[cumin.real.9511a582c32f.csv] cloves:2, cumin:64, oregano:31 → cumin (64 / 97) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:18, cumin:44, oregano:35 → cumin (44 / 97) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:97, oregano:0 → cumin (97 / 97) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:30, oregano:0 → cumin (30 / 30) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:1, cumin:4, oregano:25 → oregano (25 / 30) ❌",0.275,12.42,12.42
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5]","['diff_data_like', 'highpass_fft_batch']",84.06,97.06,92.11,62.5,79.52,100.0,96.43,38.46,"[cumin.real.9511a582c32f.csv] cloves:57, cumin:3, oregano:36 → cloves (57 / 96) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:93, cumin:0, oregano:3 → cloves (93 / 96) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:96, cumin:0, oregano:0 → cloves (96 / 96) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:28, oregano:1 → cumin (28 / 29) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:28, cumin:0, oregano:1 → cloves (28 / 29) ✅",0.261,4.54,4.54
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",100.0,100.0,100.0,100.0,95.41,100.0,100.0,85.29,"[cumin.real.9511a582c32f.csv] cloves:64, cumin:63, oregano:0 → cloves (64 / 127) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:108, cumin:19, oregano:0 → cloves (108 / 127) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:112, cumin:14, oregano:1 → cloves (112 / 127) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:35, oregano:2 → cumin (35 / 37) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:32, cumin:5, oregano:0 → cloves (32 / 37) ✅",0.255,4.59,4.59
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],93.3,94.67,96.62,88.67,71.93,85.0,97.44,28.57,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:81, oregano:47 → cumin (81 / 128) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:37, cumin:37, oregano:54 → oregano (54 / 128) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:106, cumin:22, oregano:0 → cloves (106 / 128) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:39, oregano:0 → cumin (39 / 39) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:33, cumin:2, oregano:4 → cloves (33 / 39) ✅",0.246,21.37,21.37
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",97.92,96.72,98.51,98.44,92.31,88.89,100.0,87.5,"[cumin.real.9511a582c32f.csv] cloves:40, cumin:23, oregano:0 → cloves (40 / 63) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:57, cumin:6, oregano:0 → cloves (57 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:63, cumin:0, oregano:0 → cloves (63 / 63) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:18, oregano:0 → cumin (18 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:17, cumin:0, oregano:1 → cloves (17 / 18) ✅",0.243,5.61,5.61
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],99.24,100.0,99.6,98.05,88.0,90.16,94.96,77.98,"[cumin.real.9511a582c32f.csv] cloves:104, cumin:284, oregano:0 → cumin (284 / 388) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:163, cumin:225, oregano:0 → cumin (225 / 388) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:248, cumin:140, oregano:0 → cloves (248 / 388) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:113, oregano:7 → cumin (113 / 120) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:90, cumin:18, oregano:12 → cloves (90 / 120) ✅",0.241,11.24,11.24
