Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_oregano,Test_Overall,Test_cloves,Test_cumin,Test_oregano,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",84.38,88.89,71.43,100.0,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:10, cumin:9, oregano:0 → cloves (10 / 19) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:15, cumin:4, oregano:0 → cloves (15 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:5, cumin:14, oregano:0 → cumin (14 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:4, oregano:1 → cumin (4 / 5) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:4, cumin:1, oregano:0 → cloves (4 / 5) ✅ | [cloves.real.64c1deab910f.csv] cloves:3, cumin:8, oregano:0 → cumin (8 / 11) ❌",0.312,-15.62,15.62
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],97.08,96.07,97.17,98.05,81.43,85.25,94.12,63.3,"[cumin.real.9511a582c32f.csv] cloves:46, cumin:203, oregano:139 → cumin (203 / 388) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:110, cumin:129, oregano:149 → oregano (149 / 388) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:67, cumin:321, oregano:0 → cumin (321 / 388) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:119, oregano:1 → cumin (119 / 120) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:48, cumin:25, oregano:47 → cloves (48 / 120) ✅ | [cloves.real.64c1deab910f.csv] cloves:21, cumin:115, oregano:93 → cumin (115 / 229) ❌",0.309,15.65,15.65
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],87.5,84.21,89.71,88.06,92.31,83.33,94.44,100.0,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:63, oregano:0 → cumin (63 / 63) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:18, cumin:43, oregano:2 → cumin (43 / 63) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:62, oregano:1 → cumin (62 / 63) ✅ | [cumin.24c868eadb47.csv] cloves:1, cumin:15, oregano:2 → cumin (15 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:10, cumin:5, oregano:3 → cloves (10 / 18) ✅ | [cloves.real.64c1deab910f.csv] cloves:5, cumin:31, oregano:0 → cumin (31 / 36) ❌",0.305,-4.81,4.81
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],65.62,90.0,92.31,0.0,70.59,100.0,100.0,0.0,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:1, cumin:18, oregano:0 → cumin (18 / 19) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:6, oregano:0 → cumin (6 / 6) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:4, cumin:2, oregano:0 → cloves (4 / 6) ✅ | [cloves.real.64c1deab910f.csv] cloves:0, cumin:11, oregano:0 → cumin (11 / 11) ❌",0.287,-4.97,4.97
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",79.69,94.64,88.41,58.21,76.92,100.0,100.0,25.0,"[cumin.real.9511a582c32f.csv] cloves:34, cumin:5, oregano:24 → cloves (34 / 63) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:41, cumin:0, oregano:22 → cloves (41 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:29, cumin:34, oregano:0 → cumin (34 / 63) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:18, oregano:0 → cumin (18 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:16, cumin:0, oregano:2 → cloves (16 / 18) ✅ | [cloves.real.64c1deab910f.csv] cloves:6, cumin:0, oregano:30 → oregano (30 / 36) ❌",0.284,2.77,2.77
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],99.85,100.0,99.78,99.78,85.37,99.15,98.25,55.77,"[cumin.real.9511a582c32f.csv] cloves:96, cumin:285, oregano:2 → cumin (285 / 383) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:173, cumin:203, oregano:7 → cumin (203 / 383) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:173, cumin:210, oregano:0 → cumin (210 / 383) ✅ | [cumin.24c868eadb47.csv] cloves:2, cumin:111, oregano:2 → cumin (111 / 115) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:79, cumin:21, oregano:15 → cloves (79 / 115) ✅ | [cloves.real.64c1deab910f.csv] cloves:48, cumin:175, oregano:1 → cumin (175 / 224) ❌",0.272,14.48,14.48
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5]","['diff_data_like', 'highpass_fft_batch']",91.56,97.09,94.74,82.52,89.16,100.0,96.43,69.23,"[cumin.real.9511a582c32f.csv] cloves:73, cumin:2, oregano:21 → cloves (73 / 96) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:89, cumin:1, oregano:6 → cloves (89 / 96) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:96, cumin:0, oregano:0 → cloves (96 / 96) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:28, oregano:1 → cumin (28 / 29) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:23, cumin:0, oregano:6 → cloves (23 / 29) ✅ | [cloves.real.64c1deab910f.csv] cloves:39, cumin:0, oregano:17 → cloves (39 / 56) ✅",0.27,2.4,2.4
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],97.6,99.35,95.68,97.77,81.19,93.16,92.98,54.81,"[cumin.real.9511a582c32f.csv] cloves:64, cumin:310, oregano:9 → cumin (310 / 383) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:139, cumin:225, oregano:19 → cumin (225 / 383) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:86, cumin:292, oregano:5 → cumin (292 / 383) ✅ | [cumin.24c868eadb47.csv] cloves:1, cumin:109, oregano:5 → cumin (109 / 115) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:53, cumin:22, oregano:40 → cloves (53 / 115) ✅ | [cloves.real.64c1deab910f.csv] cloves:38, cumin:185, oregano:1 → cumin (185 / 224) ❌",0.261,16.41,16.41
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],99.11,99.35,98.71,99.28,93.58,89.47,100.0,91.18,"[cumin.real.9511a582c32f.csv] cloves:24, cumin:99, oregano:4 → cumin (99 / 127) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:31, cumin:82, oregano:14 → cumin (82 / 127) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:34, cumin:93, oregano:0 → cumin (93 / 127) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:36, oregano:1 → cumin (36 / 37) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:22, cumin:0, oregano:15 → cloves (22 / 37) ✅ | [cloves.real.64c1deab910f.csv] cloves:6, cumin:68, oregano:0 → cumin (68 / 74) ❌",0.252,5.53,5.53
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",100.0,100.0,100.0,100.0,92.66,100.0,100.0,76.47,"[cumin.real.9511a582c32f.csv] cloves:55, cumin:72, oregano:0 → cumin (72 / 127) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:85, cumin:42, oregano:0 → cloves (85 / 127) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:114, cumin:13, oregano:0 → cloves (114 / 127) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:35, oregano:2 → cumin (35 / 37) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:32, cumin:5, oregano:0 → cloves (32 / 37) ✅ | [cloves.real.64c1deab910f.csv] cloves:22, cumin:52, oregano:0 → cumin (52 / 74) ❌",0.241,7.34,7.34
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",99.35,99.78,98.29,100.0,94.03,86.32,96.49,100.0,"[cumin.real.9511a582c32f.csv] cloves:52, cumin:239, oregano:92 → cumin (239 / 383) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:109, cumin:199, oregano:75 → cumin (199 / 383) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:372, cumin:0, oregano:11 → cloves (372 / 383) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:109, oregano:6 → cumin (109 / 115) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:94, cumin:16, oregano:5 → cloves (94 / 115) ✅ | [cloves.real.64c1deab910f.csv] cloves:105, cumin:91, oregano:28 → cloves (105 / 224) ✅",0.228,5.32,5.32
