Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_oregano,Test_Overall,Test_cloves,Test_cumin,Test_oregano,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",99.72,99.14,100.0,100.0,94.25,96.67,93.33,92.59,"[cumin.24c868eadb47.csv] cloves:0, cumin:30, oregano:0 → cumin (30 / 30) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:26, cumin:4, oregano:0 → cloves (26 / 30) ✅",0.933,5.47,5.47
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",99.55,100.0,98.68,100.0,93.86,97.5,94.87,88.57,"[cumin.24c868eadb47.csv] cloves:0, cumin:39, oregano:0 → cumin (39 / 39) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:33, cumin:6, oregano:0 → cloves (33 / 39) ✅",0.923,5.69,5.69
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",95.94,97.22,93.86,96.94,91.57,100.0,96.43,76.92,"[cumin.24c868eadb47.csv] cloves:0, cumin:28, oregano:1 → cumin (28 / 29) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:25, cumin:2, oregano:2 → cloves (25 / 29) ✅",0.914,4.37,4.37
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],94.06,97.14,91.89,93.27,98.8,100.0,96.43,100.0,"[cumin.24c868eadb47.csv] cloves:0, cumin:28, oregano:1 → cumin (28 / 29) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:25, cumin:4, oregano:0 → cloves (25 / 29) ✅",0.914,-4.74,4.74
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",99.69,100.0,99.13,100.0,93.98,93.1,96.43,92.31,"[cumin.24c868eadb47.csv] cloves:1, cumin:26, oregano:2 → cumin (26 / 29) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:27, cumin:0, oregano:2 → cloves (27 / 29) ✅",0.914,5.71,5.71
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5]","['diff_data_like', 'highpass_fft_batch']",90.62,99.07,92.92,79.0,84.34,100.0,96.43,53.85,"[cumin.24c868eadb47.csv] cloves:0, cumin:28, oregano:1 → cumin (28 / 29) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:25, cumin:0, oregano:4 → cloves (25 / 29) ✅",0.914,6.28,6.28
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",100.0,100.0,100.0,100.0,91.57,100.0,100.0,73.08,"[cumin.24c868eadb47.csv] cloves:0, cumin:28, oregano:1 → cumin (28 / 29) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:25, cumin:3, oregano:1 → cloves (25 / 29) ✅",0.914,8.43,8.43
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],99.78,100.0,99.35,100.0,99.08,100.0,100.0,97.06,"[cumin.24c868eadb47.csv] cloves:0, cumin:36, oregano:1 → cumin (36 / 37) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:31, cumin:6, oregano:0 → cloves (31 / 37) ✅",0.905,0.7,0.7
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",100.0,100.0,100.0,100.0,92.66,100.0,100.0,76.47,"[cumin.24c868eadb47.csv] cloves:0, cumin:35, oregano:2 → cumin (35 / 37) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:32, cumin:5, oregano:0 → cloves (32 / 37) ✅",0.905,7.34,7.34
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",100.0,100.0,100.0,100.0,94.93,89.74,97.37,98.08,"[cumin.24c868eadb47.csv] cloves:1, cumin:108, oregano:6 → cumin (108 / 115) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:99, cumin:15, oregano:1 → cloves (99 / 115) ✅",0.9,5.07,5.07
