Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_nutmeg,Test_Overall,Test_cloves,Test_cumin,Test_nutmeg,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],92.19,96.88,87.14,93.1,82.69,100.0,77.78,68.75,"[cumin.real.9511a582c32f.csv] cloves:10, cumin:49, nutmeg:4 → cumin (49 / 63) ✅ | [nutmeg.bdedca695511.csv] cloves:0, cumin:11, nutmeg:7 → cumin (11 / 18) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:29, cumin:34, nutmeg:0 → cumin (34 / 63) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:63, nutmeg:0 → cumin (63 / 63) ✅ | [cumin.24c868eadb47.csv] cloves:2, cumin:13, nutmeg:3 → cumin (13 / 18) ✅ | [nutmeg.66ddb6a76271.csv] cloves:0, cumin:1, nutmeg:18 → nutmeg (18 / 19) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:10, cumin:4, nutmeg:4 → cloves (10 / 18) ✅ | [cloves.real.64c1deab910f.csv] cloves:14, cumin:22, nutmeg:0 → cumin (22 / 36) ❌",0.28,9.5,9.5
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5]","['diff_data_like', 'highpass_fft_batch']",92.5,100.0,96.26,79.59,90.36,100.0,92.86,76.92,"[cumin.real.9511a582c32f.csv] cloves:72, cumin:21, nutmeg:3 → cloves (72 / 96) ❌ | [nutmeg.bdedca695511.csv] cloves:3, cumin:25, nutmeg:0 → cumin (25 / 28) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:96, cumin:0, nutmeg:0 → cloves (96 / 96) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:0, nutmeg:96 → nutmeg (96 / 96) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:29, nutmeg:0 → cumin (29 / 29) ✅ | [nutmeg.66ddb6a76271.csv] cloves:1, cumin:3, nutmeg:26 → nutmeg (26 / 30) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:29, cumin:0, nutmeg:0 → cloves (29 / 29) ✅ | [cloves.real.64c1deab910f.csv] cloves:56, cumin:0, nutmeg:0 → cloves (56 / 56) ✅",0.278,2.14,2.14
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",93.45,99.78,92.63,87.16,91.07,99.15,85.09,88.57,"[cumin.real.9511a582c32f.csv] cloves:250, cumin:121, nutmeg:12 → cloves (250 / 383) ❌ | [nutmeg.bdedca695511.csv] cloves:44, cumin:63, nutmeg:6 → cumin (63 / 113) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:323, cumin:60, nutmeg:0 → cloves (323 / 383) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:158, cumin:47, nutmeg:178 → nutmeg (178 / 383) ❌ | [cumin.24c868eadb47.csv] cloves:2, cumin:99, nutmeg:14 → cumin (99 / 115) ✅ | [nutmeg.66ddb6a76271.csv] cloves:15, cumin:42, nutmeg:65 → nutmeg (65 / 122) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:109, cumin:6, nutmeg:0 → cloves (109 / 115) ✅ | [cloves.real.64c1deab910f.csv] cloves:152, cumin:72, nutmeg:0 → cloves (152 / 224) ✅",0.274,2.38,2.38
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],99.04,100.0,97.86,99.17,89.91,100.0,83.78,85.29,"[cumin.real.9511a582c32f.csv] cloves:35, cumin:82, nutmeg:10 → cumin (82 / 127) ✅ | [nutmeg.bdedca695511.csv] cloves:0, cumin:14, nutmeg:23 → nutmeg (23 / 37) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:63, cumin:64, nutmeg:0 → cumin (64 / 127) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:80, cumin:11, nutmeg:36 → cloves (80 / 127) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:31, nutmeg:6 → cumin (31 / 37) ✅ | [nutmeg.66ddb6a76271.csv] cloves:0, cumin:2, nutmeg:38 → nutmeg (38 / 40) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:32, cumin:5, nutmeg:0 → cloves (32 / 37) ✅ | [cloves.real.64c1deab910f.csv] cloves:21, cumin:53, nutmeg:0 → cumin (53 / 74) ❌",0.259,9.13,9.13
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",93.44,100.0,91.59,88.24,91.57,100.0,89.29,84.62,"[cumin.real.9511a582c32f.csv] cloves:78, cumin:15, nutmeg:3 → cloves (78 / 96) ❌ | [nutmeg.bdedca695511.csv] cloves:4, cumin:24, nutmeg:0 → cumin (24 / 28) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:96, cumin:0, nutmeg:0 → cloves (96 / 96) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:96, cumin:0, nutmeg:0 → cloves (96 / 96) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:28, nutmeg:1 → cumin (28 / 29) ✅ | [nutmeg.66ddb6a76271.csv] cloves:2, cumin:4, nutmeg:24 → nutmeg (24 / 30) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:29, cumin:0, nutmeg:0 → cloves (29 / 29) ✅ | [cloves.real.64c1deab910f.csv] cloves:54, cumin:2, nutmeg:0 → cloves (54 / 56) ✅",0.258,1.87,1.87
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],71.88,100.0,62.5,50.0,80.0,100.0,80.0,60.0,"[cumin.real.9511a582c32f.csv] cloves:11, cumin:8, nutmeg:0 → cloves (11 / 19) ❌ | [nutmeg.bdedca695511.csv] cloves:0, cumin:4, nutmeg:1 → cumin (4 / 5) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:18, cumin:1, nutmeg:0 → cloves (18 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:1, cumin:16, nutmeg:2 → cumin (16 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:1, cumin:2, nutmeg:2 → cumin (2 / 5) ✅ | [nutmeg.66ddb6a76271.csv] cloves:1, cumin:3, nutmeg:2 → cumin (3 / 6) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:4, cumin:0, nutmeg:1 → cloves (4 / 5) ✅ | [cloves.real.64c1deab910f.csv] cloves:10, cumin:1, nutmeg:0 → cloves (10 / 11) ✅",0.252,-8.12,8.12
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],64.06,100.0,86.96,0.0,70.59,100.0,100.0,0.0,"[cumin.real.9511a582c32f.csv] cloves:12, cumin:7, nutmeg:0 → cloves (12 / 19) ❌ | [nutmeg.bdedca695511.csv] cloves:0, cumin:5, nutmeg:0 → cumin (5 / 5) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:17, cumin:2, nutmeg:0 → cloves (17 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:19, nutmeg:0 → cumin (19 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:6, nutmeg:0 → cumin (6 / 6) ✅ | [nutmeg.66ddb6a76271.csv] cloves:0, cumin:6, nutmeg:0 → cumin (6 / 6) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:5, cumin:1, nutmeg:0 → cloves (5 / 6) ✅ | [cloves.real.64c1deab910f.csv] cloves:9, cumin:2, nutmeg:0 → cloves (9 / 11) ✅",0.239,-6.53,6.53
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]","['diff_data_like', 'highpass_fft_batch']",90.18,100.0,86.81,82.8,90.77,100.0,85.96,85.71,"[cumin.real.9511a582c32f.csv] cloves:256, cumin:120, nutmeg:7 → cloves (256 / 383) ❌ | [nutmeg.bdedca695511.csv] cloves:41, cumin:69, nutmeg:3 → cumin (69 / 113) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:325, cumin:58, nutmeg:0 → cloves (325 / 383) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:345, cumin:13, nutmeg:25 → cloves (345 / 383) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:110, nutmeg:5 → cumin (110 / 115) ✅ | [nutmeg.66ddb6a76271.csv] cloves:6, cumin:24, nutmeg:92 → nutmeg (92 / 122) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:108, cumin:6, nutmeg:1 → cloves (108 / 115) ✅ | [cloves.real.64c1deab910f.csv] cloves:132, cumin:92, nutmeg:0 → cloves (132 / 224) ✅",0.238,-0.59,0.59
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",94.95,100.0,95.17,88.71,90.83,100.0,78.38,94.12,"[cumin.real.9511a582c32f.csv] cloves:116, cumin:10, nutmeg:1 → cloves (116 / 127) ❌ | [nutmeg.bdedca695511.csv] cloves:19, cumin:18, nutmeg:0 → cloves (19 / 37) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:127, cumin:0, nutmeg:0 → cloves (127 / 127) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:127, cumin:0, nutmeg:0 → cloves (127 / 127) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:33, nutmeg:4 → cumin (33 / 37) ✅ | [nutmeg.66ddb6a76271.csv] cloves:3, cumin:15, nutmeg:22 → nutmeg (22 / 40) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:33, cumin:1, nutmeg:3 → cloves (33 / 37) ✅ | [cloves.real.64c1deab910f.csv] cloves:72, cumin:2, nutmeg:0 → cloves (72 / 74) ✅",0.235,4.12,4.12
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'highpass_fft_batch']",97.1,100.0,96.75,94.44,93.04,100.0,84.62,94.44,"[cumin.real.9511a582c32f.csv] cloves:63, cumin:64, nutmeg:1 → cumin (64 / 128) ✅ | [nutmeg.bdedca695511.csv] cloves:13, cumin:23, nutmeg:2 → cumin (23 / 38) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:102, cumin:26, nutmeg:0 → cloves (102 / 128) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:47, cumin:0, nutmeg:81 → nutmeg (81 / 128) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:35, nutmeg:4 → cumin (35 / 39) ✅ | [nutmeg.66ddb6a76271.csv] cloves:2, cumin:17, nutmeg:22 → nutmeg (22 / 41) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:36, cumin:3, nutmeg:0 → cloves (36 / 39) ✅ | [cloves.real.64c1deab910f.csv] cloves:26, cumin:49, nutmeg:0 → cumin (49 / 75) ❌",0.22,4.06,4.06
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],93.25,100.0,90.95,88.51,82.34,99.18,64.71,82.73,"[cumin.real.9511a582c32f.csv] cloves:120, cumin:233, nutmeg:35 → cumin (233 / 388) ✅ | [nutmeg.bdedca695511.csv] cloves:20, cumin:73, nutmeg:25 → cumin (73 / 118) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:249, cumin:129, nutmeg:10 → cloves (249 / 388) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:233, cumin:145, nutmeg:10 → cloves (233 / 388) ❌ | [cumin.24c868eadb47.csv] cloves:2, cumin:85, nutmeg:33 → cumin (85 / 120) ✅ | [nutmeg.66ddb6a76271.csv] cloves:4, cumin:23, nutmeg:100 → nutmeg (100 / 127) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:97, cumin:16, nutmeg:7 → cloves (97 / 120) ✅ | [cloves.real.64c1deab910f.csv] cloves:83, cumin:135, nutmeg:11 → cumin (135 / 229) ❌",0.217,10.91,10.91
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],90.62,100.0,89.81,81.37,79.52,100.0,89.29,46.15,"[cumin.real.9511a582c32f.csv] cloves:34, cumin:52, nutmeg:10 → cumin (52 / 96) ✅ | [nutmeg.bdedca695511.csv] cloves:1, cumin:24, nutmeg:3 → cumin (24 / 28) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:56, cumin:39, nutmeg:1 → cloves (56 / 96) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:44, cumin:37, nutmeg:15 → cloves (44 / 96) ❌ | [cumin.24c868eadb47.csv] cloves:1, cumin:24, nutmeg:4 → cumin (24 / 29) ✅ | [nutmeg.66ddb6a76271.csv] cloves:5, cumin:0, nutmeg:25 → nutmeg (25 / 30) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:24, cumin:0, nutmeg:5 → cloves (24 / 29) ✅ | [cloves.real.64c1deab910f.csv] cloves:18, cumin:32, nutmeg:6 → cumin (32 / 56) ❌",0.216,11.1,11.1
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],91.56,100.0,85.05,88.89,80.72,100.0,75.0,65.38,"[cumin.real.9511a582c32f.csv] cloves:23, cumin:66, nutmeg:7 → cumin (66 / 96) ✅ | [nutmeg.bdedca695511.csv] cloves:0, cumin:15, nutmeg:13 → cumin (15 / 28) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:53, cumin:43, nutmeg:0 → cloves (53 / 96) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:46, cumin:42, nutmeg:8 → cloves (46 / 96) ❌ | [cumin.24c868eadb47.csv] cloves:1, cumin:19, nutmeg:9 → cumin (19 / 29) ✅ | [nutmeg.66ddb6a76271.csv] cloves:4, cumin:1, nutmeg:25 → nutmeg (25 / 30) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:24, cumin:0, nutmeg:5 → cloves (24 / 29) ✅ | [cloves.real.64c1deab910f.csv] cloves:10, cumin:46, nutmeg:0 → cumin (46 / 56) ❌",0.215,10.84,10.84
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like']",71.88,100.0,60.0,50.0,60.0,100.0,80.0,0.0,"[cumin.real.9511a582c32f.csv] cloves:14, cumin:5, nutmeg:0 → cloves (14 / 19) ❌ | [nutmeg.bdedca695511.csv] cloves:4, cumin:1, nutmeg:0 → cloves (4 / 5) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:18, cumin:1, nutmeg:0 → cloves (18 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:7, cumin:12, nutmeg:0 → cumin (12 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:1, cumin:4, nutmeg:0 → cumin (4 / 5) ✅ | [nutmeg.66ddb6a76271.csv] cloves:3, cumin:1, nutmeg:2 → cloves (3 / 6) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:4, cumin:1, nutmeg:0 → cloves (4 / 5) ✅ | [cloves.real.64c1deab910f.csv] cloves:6, cumin:5, nutmeg:0 → cloves (6 / 11) ✅",0.211,11.88,11.88
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],86.98,100.0,89.55,70.0,94.55,100.0,84.21,100.0,"[cumin.real.9511a582c32f.csv] cloves:16, cumin:44, nutmeg:3 → cumin (44 / 63) ✅ | [nutmeg.bdedca695511.csv] cloves:0, cumin:14, nutmeg:4 → cumin (14 / 18) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:52, cumin:11, nutmeg:0 → cloves (52 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:0, nutmeg:63 → nutmeg (63 / 63) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:17, nutmeg:2 → cumin (17 / 19) ✅ | [nutmeg.66ddb6a76271.csv] cloves:0, cumin:12, nutmeg:8 → cumin (12 / 20) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:17, cumin:2, nutmeg:0 → cloves (17 / 19) ✅ | [cloves.real.64c1deab910f.csv] cloves:27, cumin:10, nutmeg:0 → cloves (27 / 37) ✅",0.208,-7.57,7.57
