Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_almond,Test_Overall,Test_cloves,Test_cumin,Test_almond,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],100.0,100.0,100.0,100.0,97.8,96.67,96.67,100.0,"[cumin.real.9511a582c32f.csv] cloves:8, cumin:55, almond:34 → cumin (55 / 97) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:97, almond:0 → cumin (97 / 97) ✅ | [almond.77e42e4a9108.csv] cloves:2, cumin:0, almond:28 → almond (28 / 30) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:30, almond:0 → cumin (30 / 30) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:10, cumin:2, almond:18 → almond (18 / 30) ❌",0.58,2.2,2.2
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],95.31,92.0,94.12,100.0,87.5,80.0,80.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:11, cumin:8, almond:0 → cloves (11 / 19) ❌ | [cumin.real.ce4fed0b0313.csv] cloves:1, cumin:18, almond:0 → cumin (18 / 19) ✅ | [almond.77e42e4a9108.csv] cloves:0, cumin:0, almond:5 → almond (5 / 5) ✅ | [cumin.24c868eadb47.csv] cloves:1, cumin:4, almond:0 → cumin (4 / 5) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:3, cumin:1, almond:1 → cloves (3 / 5) ✅",0.554,7.81,7.81
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",99.33,100.0,99.33,98.69,97.37,92.11,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:38, cumin:81, almond:8 → cumin (81 / 127) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:125, cumin:2, almond:0 → cloves (125 / 127) ❌ | [almond.77e42e4a9108.csv] cloves:0, cumin:0, almond:38 → almond (38 / 38) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:37, almond:0 → cumin (37 / 37) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:36, cumin:0, almond:1 → cloves (36 / 37) ✅",0.525,1.96,1.96
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like']",99.78,100.0,99.32,100.0,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:39, cumin:88, almond:0 → cumin (88 / 127) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:77, cumin:50, almond:0 → cloves (77 / 127) ❌ | [almond.77e42e4a9108.csv] cloves:9, cumin:0, almond:29 → almond (29 / 38) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:36, almond:1 → cumin (36 / 37) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:27, cumin:0, almond:10 → cloves (27 / 37) ✅",0.51,-0.22,0.22
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",99.93,100.0,99.79,100.0,99.14,100.0,98.25,99.16,"[cumin.real.9511a582c32f.csv] cloves:81, cumin:292, almond:10 → cumin (292 / 383) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:383, cumin:0, almond:0 → cloves (383 / 383) ❌ | [almond.77e42e4a9108.csv] cloves:11, cumin:0, almond:105 → almond (105 / 116) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:115, almond:0 → cumin (115 / 115) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:93, cumin:4, almond:18 → cloves (93 / 115) ✅",0.495,0.79,0.79
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],99.78,100.0,99.32,100.0,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:35, cumin:92, almond:0 → cumin (92 / 127) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:90, cumin:36, almond:1 → cloves (90 / 127) ❌ | [almond.77e42e4a9108.csv] cloves:9, cumin:0, almond:29 → almond (29 / 38) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:37, almond:0 → cumin (37 / 37) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:25, cumin:1, almond:11 → cloves (25 / 37) ✅",0.491,-0.22,0.22
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",99.72,99.11,100.0,100.0,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:14, cumin:79, almond:3 → cumin (79 / 96) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:96, cumin:0, almond:0 → cloves (96 / 96) ❌ | [almond.77e42e4a9108.csv] cloves:8, cumin:0, almond:21 → almond (21 / 29) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:29, almond:0 → cumin (29 / 29) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:23, cumin:1, almond:5 → cloves (23 / 29) ✅",0.468,-0.28,0.28
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",90.62,96.3,76.19,100.0,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:0, cumin:15, almond:4 → cumin (15 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:19, cumin:0, almond:0 → cloves (19 / 19) ❌ | [almond.77e42e4a9108.csv] cloves:0, cumin:1, almond:5 → almond (5 / 6) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:6, almond:0 → cumin (6 / 6) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:4, cumin:2, almond:0 → cloves (4 / 6) ✅",0.458,-9.38,9.38
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",99.55,100.0,98.7,100.0,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:24, cumin:39, almond:0 → cumin (39 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:24, cumin:39, almond:0 → cumin (39 / 63) ✅ | [almond.77e42e4a9108.csv] cloves:18, cumin:0, almond:0 → cloves (18 / 18) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:18, almond:0 → cumin (18 / 18) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:18, cumin:0, almond:0 → cloves (18 / 18) ✅",0.448,-0.45,0.45
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like']",99.93,100.0,100.0,99.79,100.0,100.0,100.0,100.0,"[cumin.real.9511a582c32f.csv] cloves:94, cumin:289, almond:0 → cumin (289 / 383) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:382, cumin:1, almond:0 → cloves (382 / 383) ❌ | [almond.77e42e4a9108.csv] cloves:33, cumin:0, almond:83 → almond (83 / 116) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:115, almond:0 → cumin (115 / 115) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:87, cumin:27, almond:1 → cloves (87 / 115) ✅",0.446,-0.07,0.07
