timestamp,NO2,C2H50H,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude,State0
47808,46,76,72,774,2,6,0,24.84,1016.52,16.24,599.31,3.90,1
48804,47,77,73,775,2,6,0,24.84,1016.53,16.23,600.38,3.90,1
49800,47,77,73,774,2,5,0,24.84,1016.53,16.21,596.12,3.90,1
50796,47,77,73,775,2,5,0,24.84,1016.53,16.20,591.92,3.82,1
51792,47,77,73,775,1,5,0,24.84,1016.54,16.19,595.59,3.82,1
52788,48,77,73,775,1,5,0,24.84,1016.54,16.18,594.01,3.73,1
53784,48,77,73,775,1,6,0,24.84,1016.55,16.20,590.88,3.73,1
54780,48,77,73,775,1,5,0,24.85,1016.55,16.25,588.81,3.82,1
55776,48,78,73,775,1,5,0,24.85,1016.54,16.34,586.75,3.82,1
56772,48,78,73,775,2,6,0,24.85,1016.54,16.45,584.71,3.82,1
57768,48,78,73,776,2,6,0,24.85,1016.54,16.55,587.78,3.82,1
58764,48,77,72,776,2,6,0,24.85,1016.54,16.63,584.20,3.82,1
59760,48,77,73,775,2,6,0,24.85,1016.54,16.70,582.68,3.82,1
60756,48,78,73,776,2,6,0,24.85,1016.54,16.74,585.22,3.90,1
61752,48,77,73,776,2,5,0,24.85,1016.53,16.75,582.17,3.82,1
62748,48,77,73,776,2,5,0,24.84,1016.54,16.76,582.68,3.82,1
63744,48,77,73,776,1,5,0,24.84,1016.54,16.77,582.17,3.90,1
64740,48,77,73,775,1,5,0,24.84,1016.53,16.76,584.71,3.82,1
65736,48,77,73,776,2,6,0,24.84,1016.54,16.75,585.22,3.82,1
66732,49,77,73,776,2,6,0,24.85,1016.54,16.72,581.67,3.82,1
67728,47,77,73,776,3,6,0,24.85,1016.54,16.69,582.68,3.82,0
68724,47,77,74,776,2,6,0,24.85,1016.54,16.67,577.67,3.82,0
69720,48,78,73,776,2,6,0,24.84,1016.54,16.63,581.17,3.82,0
70716,48,78,73,777,1,5,0,24.85,1016.54,16.60,575.20,3.82,0
71712,48,77,73,776,1,5,0,24.84,1016.54,16.57,575.69,3.82,0
72708,48,78,73,775,1,5,0,24.84,1016.54,16.55,578.66,3.82,0
73704,48,78,73,775,2,5,0,24.84,1016.54,16.52,583.69,3.82,0
74700,48,78,73,775,2,6,0,24.85,1016.54,16.50,580.66,3.82,0
75696,48,78,73,775,1,5,0,24.84,1016.54,16.46,579.66,3.82,0
76692,47,78,73,774,2,5,0,24.84,1016.54,16.42,582.68,3.82,0
77688,47,77,73,775,2,6,0,24.84,1016.54,16.39,583.18,3.82,0
78684,48,77,73,774,2,6,0,24.84,1016.54,16.35,587.78,3.82,0
79680,48,77,73,774,2,6,0,24.84,1016.54,16.31,585.22,3.82,0
80676,48,77,73,775,2,6,0,24.84,1016.54,16.28,591.92,3.82,0
81672,48,77,73,774,2,6,0,24.84,1016.54,16.24,588.29,3.82,0
82668,47,78,73,774,2,6,0,24.84,1016.54,16.20,590.88,3.82,0
83664,48,77,73,774,2,6,0,24.84,1016.54,16.19,594.01,3.90,0
84660,47,77,73,774,2,6,0,24.84,1016.53,16.17,591.40,3.82,0
85656,47,77,73,773,2,6,0,24.83,1016.54,16.15,591.92,3.90,0
86652,48,77,73,773,3,6,0,24.83,1016.53,16.13,590.88,3.90,0
87648,47,77,73,773,2,7,0,24.83,1016.53,16.11,595.06,3.82,0
88644,47,77,73,774,3,7,0,24.83,1016.54,16.09,597.71,3.82,0
89640,47,77,72,774,2,6,0,24.83,1016.54,16.07,599.31,3.82,0
90636,47,77,73,774,2,6,0,24.83,1016.54,16.06,597.18,3.82,0
91632,48,77,73,775,2,6,0,24.83,1016.54,16.05,595.59,3.82,0
92628,48,77,73,775,2,6,0,24.83,1016.54,16.04,596.65,3.82,0
93624,47,77,73,775,2,6,0,24.83,1016.54,16.03,599.85,3.82,0
94620,48,77,73,775,2,6,0,24.83,1016.54,16.03,597.18,3.65,0
95616,48,77,73,775,2,6,0,24.83,1016.56,16.00,597.18,3.65,0
96612,47,77,73,775,2,5,0,24.83,1016.56,16.00,600.92,3.65,0
97608,48,77,73,775,2,6,0,24.83,1016.56,15.99,597.18,3.65,0
