NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
22,91,29,76,151.6791,15.8235,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,91,30,76,147.2443,16.1699,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,91,29,77,157.7139,17.3100,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,91,30,76,154.5470,16.1883,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,92,30,76,147.7050,16.1331,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,91,30,77,152.6292,15.5548,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,91,29,76,145.8703,15.6260,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,92,30,76,133.8435,16.1699,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,92,30,76,132.7993,16.0781,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,91,29,76,139.8403,16.1147,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,91,30,76,131.5567,16.0415,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,92,30,76,136.5960,16.0964,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,92,30,76,137.4540,16.1147,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,91,29,76,148.1673,16.0232,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,91,30,76,142.9360,16.1883,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,91,30,76,143.8327,16.0781,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,92,30,76,147.2443,16.1331,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,91,29,76,147.4745,16.0781,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,91,30,77,141.6011,16.0964,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,92,29,76,151.6791,15.1682,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,92,30,76,146.0984,16.1515,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,91,29,76,136.8100,16.0781,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,91,30,76,143.1597,16.0964,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,92,29,75,137.4540,16.0964,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,92,29,76,141.6011,16.0781,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,91,30,76,132.1766,16.0781,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,91,30,76,135.5309,16.2068,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,92,30,77,137.4540,16.1147,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
22,92,30,77,129.3077,16.0781,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
24,92,30,76,124.3342,16.0598,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,91,29,76,124.9210,16.0598,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
24,91,30,76,122.5895,16.1331,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
24,91,29,76,129.3077,15.9685,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,92,30,76,131.5567,16.0964,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
24,91,30,76,135.5309,16.3736,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
24,92,29,76,140.2786,16.0781,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,91,29,76,139.4035,15.3428,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
24,92,29,76,144.5088,16.1147,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
24,92,29,77,141.6011,16.0415,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,91,29,76,137.0243,16.0781,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,91,29,76,134.4739,16.0232,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
24,91,29,76,128.0968,16.0781,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,91,29,76,123.9444,16.0781,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,91,29,76,125.5106,16.0598,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,92,29,76,123.1684,16.0598,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
24,92,29,76,124.7251,15.9867,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
24,91,30,76,131.7630,16.0232,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
24,91,29,77,135.7433,16.0781,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,91,30,76,139.1856,16.0598,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
24,92,29,76,138.1008,16.0781,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,91,29,76,142.4897,15.9503,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
24,92,29,76,144.2831,16.0598,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,91,30,77,136.8100,16.0415,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
24,91,29,76,135.7433,16.0781,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,92,30,76,132.3839,15.9685,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
24,92,29,76,135.7433,16.0781,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
24,91,29,76,143.3836,16.0781,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,91,28,76,140.7181,16.0598,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
23,91,29,76,143.6079,15.9867,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
25,91,30,76,144.0576,16.0964,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
24,92,29,76,138.3171,15.9685,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
24,92,29,76,137.0243,16.0781,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
24,92,30,76,131.1450,16.0598,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
24,91,30,76,132.1766,15.8054,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
24,91,29,76,125.1173,16.0049,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
25,91,29,76,127.8961,15.8596,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,91,30,76,133.8435,16.0415,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
24,91,29,77,136.1691,16.0232,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,91,29,76,147.9360,15.9685,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
24,91,28,76,152.1534,15.9321,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,92,30,77,150.2647,15.9321,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
24,91,29,76,153.8251,15.9140,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
