Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_oregano,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
long_overlap,60,5,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",99.88,100.0,99.65,100.0,"[oregano.today.7e6e373b92ee.csv] cloves:22, cumin:351, oregano:0 → cumin (351 / 373) ❌ | [cloves.today.e7a678f64939.csv] cloves:371, cumin:0, oregano:0 → cloves (371 / 371) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:26, cumin:345, oregano:0 → cumin (345 / 371) ✅",0.33,99.88,99.88
long_overlap,60,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",98.15,99.65,94.74,100.0,"[oregano.today.7e6e373b92ee.csv] cloves:0, cumin:373, oregano:0 → cumin (373 / 373) ❌ | [cloves.today.e7a678f64939.csv] cloves:369, cumin:2, oregano:0 → cloves (369 / 371) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:28, cumin:343, oregano:0 → cumin (343 / 371) ✅",0.306,98.15,98.15
long_overlap,60,5,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",89.93,77.78,98.26,93.27,"[oregano.today.7e6e373b92ee.csv] cloves:0, cumin:373, oregano:0 → cumin (373 / 373) ❌ | [cloves.today.e7a678f64939.csv] cloves:308, cumin:63, oregano:0 → cloves (308 / 371) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:9, cumin:362, oregano:0 → cumin (362 / 371) ✅",0.269,89.93,89.93
long_overlap,60,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",100.0,100.0,100.0,100.0,"[oregano.today.7e6e373b92ee.csv] cloves:4, cumin:374, oregano:0 → cumin (374 / 378) ❌ | [cloves.today.e7a678f64939.csv] cloves:373, cumin:3, oregano:0 → cloves (373 / 376) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:124, cumin:252, oregano:0 → cumin (252 / 376) ✅",0.224,100.0,100.0
long_overlap,60,5,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",97.54,94.14,98.65,100.0,"[oregano.today.7e6e373b92ee.csv] cloves:1, cumin:377, oregano:0 → cumin (377 / 378) ❌ | [cloves.today.e7a678f64939.csv] cloves:289, cumin:43, oregano:44 → cloves (289 / 376) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:48, cumin:328, oregano:0 → cumin (328 / 376) ✅",0.215,97.54,97.54
long_overlap,60,5,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],96.43,90.88,99.66,98.97,"[oregano.today.7e6e373b92ee.csv] cloves:35, cumin:338, oregano:5 → cumin (338 / 378) ❌ | [cloves.today.e7a678f64939.csv] cloves:229, cumin:86, oregano:61 → cloves (229 / 376) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:14, cumin:348, oregano:14 → cumin (348 / 376) ✅",0.213,96.43,96.43
long_overlap,60,5,"[0, 1, 2, 3]",['highpass_fft_batch'],91.52,99.35,78.86,96.23,"[oregano.today.7e6e373b92ee.csv] cloves:5, cumin:1, oregano:372 → oregano (372 / 378) ✅ | [cloves.today.e7a678f64939.csv] cloves:157, cumin:1, oregano:218 → oregano (218 / 376) ❌ | [cumin.today.ebdd7a8a7c22.csv] cloves:65, cumin:55, oregano:256 → oregano (256 / 376) ❌",-0.092,91.52,91.52
long_overlap,60,5,"[0, 1, 2, 3]","['standard_scaler', 'highpass_fft_batch']",94.42,88.31,96.32,98.96,"[oregano.today.7e6e373b92ee.csv] cloves:3, cumin:3, oregano:372 → oregano (372 / 378) ✅ | [cloves.today.e7a678f64939.csv] cloves:110, cumin:7, oregano:259 → oregano (259 / 376) ❌ | [cumin.today.ebdd7a8a7c22.csv] cloves:27, cumin:93, oregano:256 → oregano (256 / 376) ❌",-0.129,94.42,94.42
long_overlap,60,5,"[0, 1, 2, 3]",['standard_scaler'],98.21,98.04,96.64,100.0,"[oregano.today.7e6e373b92ee.csv] cloves:0, cumin:378, oregano:0 → cumin (378 / 378) ❌ | [cloves.today.e7a678f64939.csv] cloves:0, cumin:376, oregano:0 → cumin (376 / 376) ❌ | [cumin.today.ebdd7a8a7c22.csv] cloves:0, cumin:376, oregano:0 → cumin (376 / 376) ✅",-0.333,98.21,98.21
long_overlap,60,5,"[0, 1, 2, 3]",None,100.0,100.0,100.0,100.0,"[oregano.today.7e6e373b92ee.csv] cloves:0, cumin:378, oregano:0 → cumin (378 / 378) ❌ | [cloves.today.e7a678f64939.csv] cloves:0, cumin:376, oregano:0 → cumin (376 / 376) ❌ | [cumin.today.ebdd7a8a7c22.csv] cloves:0, cumin:376, oregano:0 → cumin (376 / 376) ✅",-0.333,100.0,100.0
long_overlap,60,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",None,100.0,100.0,100.0,100.0,"[oregano.today.7e6e373b92ee.csv] cloves:0, cumin:378, oregano:0 → cumin (378 / 378) ❌ | [cloves.today.e7a678f64939.csv] cloves:0, cumin:376, oregano:0 → cumin (376 / 376) ❌ | [cumin.today.ebdd7a8a7c22.csv] cloves:0, cumin:376, oregano:0 → cumin (376 / 376) ✅",-0.333,100.0,100.0
long_overlap,60,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['standard_scaler'],100.0,100.0,100.0,100.0,"[oregano.today.7e6e373b92ee.csv] cloves:0, cumin:378, oregano:0 → cumin (378 / 378) ❌ | [cloves.today.e7a678f64939.csv] cloves:0, cumin:376, oregano:0 → cumin (376 / 376) ❌ | [cumin.today.ebdd7a8a7c22.csv] cloves:0, cumin:376, oregano:0 → cumin (376 / 376) ✅",-0.333,100.0,100.0
long_overlap,60,5,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['standard_scaler'],100.0,100.0,100.0,100.0,"[oregano.today.7e6e373b92ee.csv] cloves:0, cumin:378, oregano:0 → cumin (378 / 378) ❌ | [cloves.today.e7a678f64939.csv] cloves:0, cumin:376, oregano:0 → cumin (376 / 376) ❌ | [cumin.today.ebdd7a8a7c22.csv] cloves:0, cumin:376, oregano:0 → cumin (376 / 376) ✅",-0.333,100.0,100.0
long_overlap,60,5,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",None,100.0,100.0,100.0,100.0,"[oregano.today.7e6e373b92ee.csv] cloves:0, cumin:378, oregano:0 → cumin (378 / 378) ❌ | [cloves.today.e7a678f64939.csv] cloves:0, cumin:303, oregano:73 → cumin (303 / 376) ❌ | [cumin.today.ebdd7a8a7c22.csv] cloves:0, cumin:291, oregano:85 → cumin (291 / 376) ✅",-0.344,100.0,100.0
