Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_bodai,Train_chienan,Train_go,Train_reihai,Train_rendai,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
short_overlap_first_4,10,5,"[0, 1, 2, 3]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",45.69,50.33,51.59,22.6,49.92,52.86,,-999,45.69,45.69
short_overlap_first_4,10,5,"[0, 1, 2, 3]",['diff_data_like'],46.18,55.3,57.21,35.86,41.57,40.23,,-999,46.18,46.18
no_overlap_short_first_4,20,20,"[0, 1, 2, 3]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",46.2,45.14,72.55,18.0,18.12,78.57,,-999,46.2,46.2
no_overlap_short_first_4,20,20,"[0, 1, 2, 3]","['standard_scaler', 'diff_data_like']",46.88,39.72,51.97,43.79,32.43,66.9,,-999,46.88,46.88
no_overlap_short_first_6,20,20,"[0, 1, 2, 3, 4, 5]","['diff_data_like', 'highpass_fft_batch']",48.78,18.62,78.29,35.9,67.61,43.26,,-999,48.78,48.78
medium_overlap_first_4,30,15,"[0, 1, 2, 3]",['highpass_fft_batch'],48.83,51.18,65.15,32.34,21.6,75.62,,-999,48.83,48.83
no_overlap_short_first_6,20,20,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",50.14,69.06,62.16,43.42,22.82,54.73,,-999,50.14,50.14
long_overlap_no_benzene_no_alcohol,60,30,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",50.62,52.04,66.3,0.0,63.64,66.67,,-999,50.62,50.62
no_overlap_long_no_benzene_no_alcohol,100,100,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",50.78,80.77,79.31,8.0,45.83,33.33,,-999,50.78,50.78
no_overlap_short_no_benzene_no_alcohol,20,20,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",51.22,42.96,49.67,31.54,66.67,65.31,,-999,51.22,51.22
no_overlap_long_no_benzene,100,100,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",52.34,100.0,92.59,0.0,45.83,0.0,,-999,52.34,52.34
medium_overlap_no_benzene_no_alcohol,30,15,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],52.93,48.34,74.24,13.43,57.75,71.14,,-999,52.93,52.93
no_overlap_long_no_benzene,100,100,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],53.12,87.1,92.0,0.0,56.0,16.0,,-999,53.12,53.12
no_overlap_long_no_benzene_no_alcohol,100,100,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",None,53.12,85.71,57.69,62.5,48.15,4.35,,-999,53.12,53.12
long_overlap_first_6,60,30,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],53.33,11.83,73.96,43.0,93.0,41.76,,-999,53.33,53.33
medium_overlap_no_benzene_no_alcohol,30,15,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",53.42,66.35,53.03,12.44,77.0,56.22,,-999,53.42,53.42
medium_overlap_first_4,30,15,"[0, 1, 2, 3]",['diff_data_like'],53.53,46.27,59.7,51.83,37.5,72.36,,-999,53.53,53.53
no_overlap_long_no_benzene,100,100,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],53.91,83.33,95.83,0.0,50.0,34.62,,-999,53.91,53.91
no_overlap_short_no_benzene_no_alcohol,20,20,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",53.94,49.31,72.19,11.92,66.21,71.03,,-999,53.94,53.94
short_overlap_no_benzene_no_alcohol,10,5,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],54.13,56.51,59.52,34.56,78.6,42.6,,-999,54.13,54.13
medium_overlap_no_benzene_no_alcohol,30,15,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",54.13,49.75,69.5,12.11,64.29,72.91,,-999,54.13,54.13
short_overlap_no_benzene_no_alcohol,10,5,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",54.34,42.07,75.68,35.62,67.81,48.86,,-999,54.34,54.34
long_overlap_first_4,60,30,"[0, 1, 2, 3]",['diff_data_like'],54.38,61.22,64.58,60.0,29.47,56.44,,-999,54.38,54.38
medium_overlap_first_4,30,15,"[0, 1, 2, 3]","['standard_scaler', 'highpass_fft_batch']",54.49,72.51,51.01,17.41,69.01,60.7,,-999,54.49,54.49
no_overlap_short_first_6,20,20,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'highpass_fft_batch']",54.56,8.97,82.12,38.56,75.64,64.42,,-999,54.56,54.56
short_overlap_no_benzene_no_alcohol,10,5,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['diff_data_like'],54.77,41.1,62.16,46.31,74.27,49.1,,-999,54.77,54.77
no_overlap_short_no_benzene,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],55.99,63.45,70.39,41.94,47.1,57.76,,-999,55.99,55.99
long_overlap_first_4,60,30,"[0, 1, 2, 3]","['standard_scaler', 'diff_data_like']",56.46,51.0,65.59,64.77,35.05,66.67,,-999,56.46,56.46
long_overlap_no_benzene,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],57.29,75.0,78.35,44.33,50.0,39.8,,-999,57.29,57.29
long_overlap_first_6,60,30,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",57.92,32.65,85.86,30.0,61.46,77.32,,-999,57.92,57.92
medium_overlap_no_benzene_no_alcohol,30,15,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",58.06,51.23,70.79,35.08,59.39,72.86,,-999,58.06,58.06
long_overlap_no_benzene_no_alcohol,60,30,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",58.12,33.68,82.29,21.88,73.2,79.17,,-999,58.12,58.12
medium_overlap_no_benzene_no_alcohol,30,15,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",58.67,52.91,73.33,41.88,61.42,63.55,,-999,58.67,58.67
short_overlap_first_6,10,5,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'highpass_fft_batch']",59.05,69.97,78.42,54.47,52.51,39.94,,-999,59.05,59.05
short_overlap_no_benzene_no_alcohol,10,5,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",59.24,57.05,66.19,46.92,57.12,68.13,,-999,59.24,59.24
no_overlap_short_no_benzene_no_alcohol,20,20,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",59.24,53.85,59.33,54.97,75.84,51.75,,-999,59.24,59.24
long_overlap_no_benzene,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",59.38,87.0,83.33,35.96,43.75,44.44,,-999,59.38,59.38
long_overlap_no_benzene_no_alcohol,60,30,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],59.38,43.3,80.41,19.59,86.46,67.74,,-999,59.38,59.38
no_overlap_long_no_benzene,100,100,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",59.38,75.0,75.0,25.0,50.0,70.83,,-999,59.38,59.38
medium_overlap_first_6,30,15,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'highpass_fft_batch']",59.47,63.03,91.41,54.23,51.17,38.31,,-999,59.47,59.47
medium_overlap_no_benzene,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",59.68,87.38,70.0,47.34,50.25,41.71,,-999,59.68,59.68
no_overlap_short_no_benzene,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],60.19,64.19,82.43,42.18,55.7,56.25,,-999,60.19,60.19
medium_overlap_first_6,30,15,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",62.2,79.21,85.71,49.48,28.72,66.0,,-999,62.2,62.2
no_overlap_short_no_benzene_no_alcohol,20,20,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['diff_data_like'],62.23,53.1,75.51,45.45,74.15,63.64,,-999,62.23,62.23
long_overlap_first_6,60,30,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],62.5,53.61,82.29,61.8,39.8,75.0,,-999,62.5,62.5
long_overlap_no_benzene_no_alcohol,60,30,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['diff_data_like'],62.92,56.0,79.79,50.55,68.04,60.2,,-999,62.92,62.92
long_overlap_first_6,60,30,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like']",63.54,64.0,75.79,51.69,47.92,77.0,,-999,63.54,63.54
short_overlap_no_benzene,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",63.88,66.56,74.92,48.71,74.55,53.75,,-999,63.88,63.88
long_overlap_no_benzene,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",64.58,88.17,79.59,39.18,54.17,62.5,,-999,64.58,64.58
no_overlap_short_no_benzene,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",64.81,62.07,75.0,41.33,65.99,80.14,,-999,64.81,64.81
no_overlap_long_first_6,100,100,"[0, 1, 2, 3, 4, 5]",None,64.84,84.0,89.29,54.17,42.31,52.0,,-999,64.84,64.84
short_overlap_first_6,10,5,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],65.23,71.57,78.87,55.98,72.88,47.33,,-999,65.23,65.23
no_overlap_short_first_6,20,20,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],65.36,43.45,86.09,50.0,66.03,79.63,,-999,65.36,65.36
no_overlap_short_first_6,20,20,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like']",65.76,47.59,89.4,55.92,65.28,70.14,,-999,65.76,65.76
no_overlap_short_no_benzene,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",66.02,56.25,82.35,47.4,61.29,81.48,,-999,66.02,66.02
long_overlap_no_benzene,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",66.67,60.0,90.62,29.21,81.91,69.31,,-999,66.67,66.67
short_overlap_first_6,10,5,"[0, 1, 2, 3, 4, 5]","['diff_data_like', 'highpass_fft_batch']",67.83,69.21,81.24,54.03,80.76,53.08,,-999,67.83,67.83
medium_overlap_no_benzene_no_alcohol,30,15,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['diff_data_like'],68.35,73.4,76.5,48.96,74.11,68.0,,-999,68.35,68.35
short_overlap_first_6,10,5,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like']",68.62,71.36,84.29,68.78,68.24,50.24,,-999,68.62,68.62
long_overlap_no_benzene_no_alcohol,60,30,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",69.79,71.0,75.53,64.04,78.35,60.0,,-999,69.79,69.79
no_overlap_short_no_benzene,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",69.84,56.16,84.67,55.1,71.62,81.38,,-999,69.84,69.84
long_overlap_first_6,60,30,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'highpass_fft_batch']",70.21,51.65,88.66,65.0,67.71,77.08,,-999,70.21,70.21
no_overlap_long_no_benzene,100,100,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",None,70.31,89.29,92.0,62.5,60.0,46.15,,-999,70.31,70.31
short_overlap_no_benzene,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],70.54,82.04,82.42,63.64,85.67,39.64,,-999,70.54,70.54
short_overlap_no_benzene,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",70.8,69.52,90.82,69.12,80.9,43.76,,-999,70.8,70.8
