Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_oregano,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
medium_overlap,30,15,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",93.06,88.53,93.63,97.45,"[cumin.today.bd6399a46021.csv] cloves:78, cumin:9, oregano:40 → cloves (78 / 127) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:9, cumin:9, oregano:109 → oregano (109 / 127) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:79, cumin:47, oregano:0 → cloves (79 / 126) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:14, cumin:7, oregano:105 → oregano (105 / 126) ❌",-0.304,93.06,93.06
no_overlap_long,100,100,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",83.52,69.49,85.0,96.49,"[cumin.today.bd6399a46021.csv] cloves:12, cumin:6, oregano:1 → cloves (12 / 19) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:2, cumin:1, oregano:16 → oregano (16 / 19) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:13, cumin:6, oregano:0 → cloves (13 / 19) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:0, cumin:3, oregano:16 → oregano (16 / 19) ❌",-0.329,83.52,83.52
short_overlap,10,5,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['standard_scaler'],98.29,97.14,98.43,99.45,"[cumin.today.bd6399a46021.csv] cloves:0, cumin:0, oregano:388 → oregano (388 / 388) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:0, cumin:0, oregano:388 → oregano (388 / 388) ✅ | [cloves.today.9eec7d1c4669.csv] cloves:0, cumin:0, oregano:386 → oregano (386 / 386) ❌",-0.333,98.29,98.29
no_overlap_long,100,100,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['diff_data_like'],94.32,88.89,94.96,99.14,"[cumin.today.bd6399a46021.csv] cloves:16, cumin:3, oregano:0 → cloves (16 / 19) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:2, cumin:0, oregano:17 → oregano (17 / 19) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:18, cumin:1, oregano:0 → cloves (18 / 19) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:4, cumin:6, oregano:9 → oregano (9 / 19) ❌",-0.342,94.32,94.32
long_overlap,60,30,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['diff_data_like'],94.57,92.71,93.87,97.56,"[cumin.today.bd6399a46021.csv] cloves:58, cumin:4, oregano:1 → cloves (58 / 63) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:7, cumin:1, oregano:55 → oregano (55 / 63) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:56, cumin:6, oregano:0 → cloves (56 / 62) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:22, cumin:13, oregano:27 → oregano (27 / 62) ❌",-0.347,94.57,94.57
long_overlap,60,30,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],96.96,95.6,98.75,96.61,"[cumin.today.bd6399a46021.csv] cloves:7, cumin:3, oregano:53 → oregano (53 / 63) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:3, cumin:0, oregano:60 → oregano (60 / 63) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:16, cumin:1, oregano:46 → oregano (46 / 63) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:3, cumin:2, oregano:58 → oregano (58 / 63) ❌",-0.385,96.96,96.96
medium_overlap,30,15,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",70.74,59.51,57.3,96.95,"[cumin.today.bd6399a46021.csv] cloves:20, cumin:2, oregano:105 → oregano (105 / 127) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:8, cumin:9, oregano:110 → oregano (110 / 127) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:17, cumin:24, oregano:85 → oregano (85 / 126) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:0, cumin:0, oregano:126 → oregano (126 / 126) ❌",-0.409,70.74,70.74
no_overlap_long,100,100,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",68.75,44.07,70.73,92.79,"[cumin.today.bd6399a46021.csv] cloves:0, cumin:1, oregano:18 → oregano (18 / 19) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:1, cumin:0, oregano:18 → oregano (18 / 19) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:0, cumin:4, oregano:15 → oregano (15 / 19) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:1, cumin:1, oregano:17 → oregano (17 / 19) ❌",-0.421,68.75,68.75
no_overlap_long,100,100,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],85.51,74.38,95.97,85.98,"[cumin.today.bd6399a46021.csv] cloves:2, cumin:0, oregano:17 → oregano (17 / 19) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:1, cumin:0, oregano:18 → oregano (18 / 19) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:2, cumin:0, oregano:17 → oregano (17 / 19) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:1, cumin:2, oregano:16 → oregano (16 / 19) ❌",-0.421,85.51,85.51
medium_overlap,30,15,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",89.12,85.36,87.32,95.31,"[cumin.today.bd6399a46021.csv] cloves:6, cumin:0, oregano:122 → oregano (122 / 128) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:31, cumin:0, oregano:97 → oregano (97 / 128) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:28, cumin:20, oregano:80 → oregano (80 / 128) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:2, cumin:2, oregano:124 → oregano (124 / 128) ❌",-0.447,89.12,89.12
long_overlap,60,30,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",91.69,87.91,91.02,96.62,"[cumin.today.bd6399a46021.csv] cloves:0, cumin:3, oregano:60 → oregano (60 / 63) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:9, cumin:0, oregano:54 → oregano (54 / 63) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:3, cumin:4, oregano:56 → oregano (56 / 63) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:0, cumin:2, oregano:61 → oregano (61 / 63) ❌",-0.488,91.69,91.69
no_overlap_long,100,100,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['standard_scaler'],83.81,69.67,84.3,99.08,"[cumin.today.bd6399a46021.csv] cloves:0, cumin:0, oregano:19 → oregano (19 / 19) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:0, cumin:0, oregano:19 → oregano (19 / 19) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:0, cumin:0, oregano:19 → oregano (19 / 19) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:0, cumin:0, oregano:19 → oregano (19 / 19) ❌",-0.5,83.81,83.81
medium_overlap,30,15,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['standard_scaler'],93.24,94.08,86.26,99.75,"[cumin.today.bd6399a46021.csv] cloves:0, cumin:0, oregano:128 → oregano (128 / 128) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:0, cumin:0, oregano:128 → oregano (128 / 128) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:0, cumin:0, oregano:128 → oregano (128 / 128) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:0, cumin:0, oregano:128 → oregano (128 / 128) ❌",-0.5,93.24,93.24
long_overlap,60,30,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['standard_scaler'],94.33,90.55,93.27,99.74,"[cumin.today.bd6399a46021.csv] cloves:0, cumin:0, oregano:63 → oregano (63 / 63) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:0, cumin:0, oregano:63 → oregano (63 / 63) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:0, cumin:0, oregano:63 → oregano (63 / 63) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:0, cumin:0, oregano:63 → oregano (63 / 63) ❌",-0.5,94.33,94.33
no_overlap_short,20,20,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['standard_scaler'],96.56,95.77,97.4,96.59,"[cumin.today.bd6399a46021.csv] cloves:0, cumin:0, oregano:97 → oregano (97 / 97) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:0, cumin:0, oregano:97 → oregano (97 / 97) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:0, cumin:0, oregano:96 → oregano (96 / 96) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:0, cumin:0, oregano:96 → oregano (96 / 96) ❌",-0.5,96.56,96.56
medium_overlap,30,15,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",None,98.3,95.87,99.64,99.62,"[cumin.today.bd6399a46021.csv] cloves:0, cumin:128, oregano:0 → cumin (128 / 128) ✅ | [oregano.today.7e6e373b92ee.csv] cloves:128, cumin:0, oregano:0 → cloves (128 / 128) ❌ | [cumin.today.ebdd7a8a7c22.csv] cloves:128, cumin:0, oregano:0 → cloves (128 / 128) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:0, cumin:128, oregano:0 → cumin (128 / 128) ❌",-0.5,98.3,98.3
no_overlap_long,100,100,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",47.44,63.03,25.62,54.46,"[cumin.today.bd6399a46021.csv] cloves:0, cumin:0, oregano:19 → oregano (19 / 19) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:19, cumin:0, oregano:0 → cloves (19 / 19) ❌ | [cumin.today.ebdd7a8a7c22.csv] cloves:19, cumin:0, oregano:0 → cloves (19 / 19) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:0, cumin:0, oregano:19 → oregano (19 / 19) ❌",-1.0,47.44,47.44
long_overlap,60,30,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",None,93.17,87.41,93.77,99.21,"[cumin.today.bd6399a46021.csv] cloves:0, cumin:0, oregano:63 → oregano (63 / 63) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:63, cumin:0, oregano:0 → cloves (63 / 63) ❌ | [cumin.today.ebdd7a8a7c22.csv] cloves:63, cumin:0, oregano:0 → cloves (63 / 63) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:0, cumin:0, oregano:63 → oregano (63 / 63) ❌",-1.0,93.17,93.17
no_overlap_short,20,20,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",None,94.28,94.29,91.49,97.14,"[cumin.today.bd6399a46021.csv] cloves:0, cumin:0, oregano:97 → oregano (97 / 97) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:97, cumin:0, oregano:0 → cloves (97 / 97) ❌ | [cumin.today.ebdd7a8a7c22.csv] cloves:96, cumin:0, oregano:0 → cloves (96 / 96) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:0, cumin:0, oregano:96 → oregano (96 / 96) ❌",-1.0,94.28,94.28
short_overlap,10,5,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",None,97.97,94.92,99.41,99.96,"[cumin.today.bd6399a46021.csv] cloves:0, cumin:0, oregano:388 → oregano (388 / 388) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:388, cumin:0, oregano:0 → cloves (388 / 388) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:0, cumin:0, oregano:386 → oregano (386 / 386) ❌",-1.0,97.97,97.97
