Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_bodai,Train_chienan,Train_go,Train_reihai,Train_rendai,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
long_overlap_no_benzene,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",79.08,73.65,89.19,80.0,95.86,57.33,"[rendai.c6effaa6260e.csv] bodai:9, chienan:3, go:13, reihai:0, rendai:37 → rendai (37 / 62) ✅ | [bodai.a4c24f0cd466.csv] bodai:39, chienan:13, go:3, reihai:1, rendai:7 → bodai (39 / 63) ✅ | [go.6152c50431f8.csv] bodai:6, chienan:3, go:40, reihai:1, rendai:13 → go (40 / 63) ✅ | [reihai.03498d9d973f.csv] bodai:0, chienan:0, go:0, reihai:63, rendai:0 → reihai (63 / 63) ✅ | [chienan.58b3fecd3230.csv] bodai:0, chienan:51, go:0, reihai:11, rendai:0 → chienan (51 / 62) ✅",0.735,79.08,79.08
long_overlap_no_benzene,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",72.55,63.45,79.47,54.55,91.72,73.03,"[rendai.c6effaa6260e.csv] bodai:8, chienan:5, go:4, reihai:0, rendai:45 → rendai (45 / 62) ✅ | [bodai.a4c24f0cd466.csv] bodai:46, chienan:2, go:12, reihai:0, rendai:3 → bodai (46 / 63) ✅ | [go.6152c50431f8.csv] bodai:0, chienan:11, go:33, reihai:0, rendai:19 → go (33 / 63) ✅ | [reihai.03498d9d973f.csv] bodai:0, chienan:0, go:0, reihai:63, rendai:0 → reihai (63 / 63) ✅ | [chienan.58b3fecd3230.csv] bodai:4, chienan:42, go:2, reihai:7, rendai:7 → chienan (42 / 62) ✅",0.731,72.55,72.55
short_overlap_first_6,10,5,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],72.66,76.14,83.52,67.56,68.91,67.1,"[rendai.c6effaa6260e.csv] bodai:64, chienan:12, go:46, reihai:30, rendai:229 → rendai (229 / 381) ✅ | [bodai.a4c24f0cd466.csv] bodai:300, chienan:7, go:15, reihai:8, rendai:53 → bodai (300 / 383) ✅ | [go.6152c50431f8.csv] bodai:73, chienan:13, go:203, reihai:38, rendai:56 → go (203 / 383) ✅ | [reihai.03498d9d973f.csv] bodai:1, chienan:3, go:3, reihai:364, rendai:12 → reihai (364 / 383) ✅ | [chienan.58b3fecd3230.csv] bodai:40, chienan:253, go:36, reihai:26, rendai:26 → chienan (253 / 381) ✅",0.706,72.66,72.66
short_overlap_no_benzene,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],75.63,73.07,80.04,75.33,92.42,57.11,"[rendai.c6effaa6260e.csv] bodai:71, chienan:25, go:71, reihai:25, rendai:189 → rendai (189 / 381) ✅ | [bodai.a4c24f0cd466.csv] bodai:257, chienan:31, go:31, reihai:6, rendai:58 → bodai (257 / 383) ✅ | [go.6152c50431f8.csv] bodai:55, chienan:24, go:241, reihai:17, rendai:46 → go (241 / 383) ✅ | [reihai.03498d9d973f.csv] bodai:0, chienan:0, go:0, reihai:383, rendai:0 → reihai (383 / 383) ✅ | [chienan.58b3fecd3230.csv] bodai:17, chienan:252, go:41, reihai:56, rendai:15 → chienan (252 / 381) ✅",0.692,75.63,75.63
long_overlap_no_benzene_no_alcohol,60,30,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['diff_data_like'],62.5,60.96,49.66,53.42,74.66,73.83,"[rendai.c6effaa6260e.csv] bodai:3, chienan:2, go:15, reihai:0, rendai:42 → rendai (42 / 62) ✅ | [bodai.a4c24f0cd466.csv] bodai:43, chienan:11, go:8, reihai:0, rendai:1 → bodai (43 / 63) ✅ | [go.6152c50431f8.csv] bodai:0, chienan:10, go:43, reihai:0, rendai:10 → go (43 / 63) ✅ | [reihai.03498d9d973f.csv] bodai:0, chienan:0, go:0, reihai:63, rendai:0 → reihai (63 / 63) ✅ | [chienan.58b3fecd3230.csv] bodai:6, chienan:23, go:21, reihai:0, rendai:12 → chienan (23 / 62) ✅",0.683,62.5,62.5
medium_overlap_no_benzene_no_alcohol,30,15,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['diff_data_like'],61.24,57.39,41.23,51.79,82.71,73.93,"[rendai.c6effaa6260e.csv] bodai:9, chienan:3, go:15, reihai:1, rendai:98 → rendai (98 / 126) ✅ | [bodai.a4c24f0cd466.csv] bodai:83, chienan:8, go:26, reihai:1, rendai:9 → bodai (83 / 127) ✅ | [go.6152c50431f8.csv] bodai:8, chienan:9, go:70, reihai:0, rendai:40 → go (70 / 127) ✅ | [reihai.03498d9d973f.csv] bodai:0, chienan:0, go:0, reihai:127, rendai:0 → reihai (127 / 127) ✅ | [chienan.58b3fecd3230.csv] bodai:33, chienan:41, go:34, reihai:1, rendai:17 → chienan (41 / 126) ✅",0.662,61.24,61.24
long_overlap_first_4,60,30,"[0, 1, 2, 3]","['standard_scaler', 'diff_data_like']",55.03,45.89,68.03,45.14,58.39,57.33,"[rendai.c6effaa6260e.csv] bodai:3, chienan:5, go:18, reihai:8, rendai:28 → rendai (28 / 62) ✅ | [bodai.a4c24f0cd466.csv] bodai:38, chienan:17, go:8, reihai:0, rendai:0 → bodai (38 / 63) ✅ | [go.6152c50431f8.csv] bodai:0, chienan:15, go:40, reihai:3, rendai:5 → go (40 / 63) ✅ | [reihai.03498d9d973f.csv] bodai:0, chienan:0, go:0, reihai:63, rendai:0 → reihai (63 / 63) ✅ | [chienan.58b3fecd3230.csv] bodai:1, chienan:38, go:18, reihai:2, rendai:3 → chienan (38 / 62) ✅",0.661,55.03,55.03
no_overlap_short_no_benzene,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",70.0,62.17,74.66,71.74,84.62,56.88,"[rendai.c6effaa6260e.csv] bodai:16, chienan:2, go:28, reihai:2, rendai:47 → rendai (47 / 95) ✅ | [bodai.a4c24f0cd466.csv] bodai:69, chienan:7, go:10, reihai:2, rendai:8 → bodai (69 / 96) ✅ | [go.6152c50431f8.csv] bodai:22, chienan:3, go:63, reihai:0, rendai:8 → go (63 / 96) ✅ | [reihai.03498d9d973f.csv] bodai:0, chienan:0, go:0, reihai:96, rendai:0 → reihai (96 / 96) ✅ | [chienan.58b3fecd3230.csv] bodai:36, chienan:41, go:5, reihai:3, rendai:10 → chienan (41 / 95) ✅",0.66,70.0,70.0
medium_overlap_first_6,30,15,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",70.61,52.76,76.62,81.97,77.44,63.49,"[rendai.c6effaa6260e.csv] bodai:9, chienan:5, go:31, reihai:12, rendai:69 → rendai (69 / 126) ✅ | [bodai.a4c24f0cd466.csv] bodai:61, chienan:13, go:23, reihai:6, rendai:24 → bodai (61 / 127) ✅ | [go.6152c50431f8.csv] bodai:6, chienan:3, go:92, reihai:17, rendai:9 → go (92 / 127) ✅ | [reihai.03498d9d973f.csv] bodai:0, chienan:3, go:5, reihai:116, rendai:3 → reihai (116 / 127) ✅ | [chienan.58b3fecd3230.csv] bodai:14, chienan:72, go:9, reihai:20, rendai:11 → chienan (72 / 126) ✅",0.647,70.61,70.61
no_overlap_short_first_6,20,20,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],57.59,42.11,63.84,71.49,55.86,54.59,"[rendai.c6effaa6260e.csv] bodai:13, chienan:2, go:23, reihai:8, rendai:49 → rendai (49 / 95) ✅ | [bodai.a4c24f0cd466.csv] bodai:72, chienan:1, go:8, reihai:0, rendai:15 → bodai (72 / 96) ✅ | [go.6152c50431f8.csv] bodai:17, chienan:3, go:56, reihai:6, rendai:14 → go (56 / 96) ✅ | [reihai.03498d9d973f.csv] bodai:0, chienan:2, go:0, reihai:92, rendai:2 → reihai (92 / 96) ✅ | [chienan.58b3fecd3230.csv] bodai:16, chienan:40, go:8, reihai:4, rendai:27 → chienan (40 / 95) ✅",0.646,57.59,57.59
no_overlap_short_no_benzene,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],65.62,41.48,68.44,66.81,82.19,70.18,"[rendai.c6effaa6260e.csv] bodai:5, chienan:3, go:17, reihai:1, rendai:69 → rendai (69 / 95) ✅ | [bodai.a4c24f0cd466.csv] bodai:45, chienan:5, go:21, reihai:0, rendai:25 → bodai (45 / 96) ✅ | [go.6152c50431f8.csv] bodai:12, chienan:3, go:48, reihai:0, rendai:33 → go (48 / 96) ✅ | [reihai.03498d9d973f.csv] bodai:0, chienan:0, go:0, reihai:96, rendai:0 → reihai (96 / 96) ✅ | [chienan.58b3fecd3230.csv] bodai:16, chienan:48, go:7, reihai:4, rendai:20 → chienan (48 / 95) ✅",0.64,65.62,65.62
short_overlap_no_benzene_no_alcohol,10,5,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['diff_data_like'],59.33,58.94,54.91,29.27,79.31,73.68,"[rendai.c6effaa6260e.csv] bodai:52, chienan:27, go:30, reihai:2, rendai:270 → rendai (270 / 381) ✅ | [bodai.a4c24f0cd466.csv] bodai:233, chienan:80, go:25, reihai:2, rendai:43 → bodai (233 / 383) ✅ | [go.6152c50431f8.csv] bodai:66, chienan:73, go:131, reihai:7, rendai:106 → go (131 / 383) ✅ | [reihai.03498d9d973f.csv] bodai:0, chienan:0, go:0, reihai:383, rendai:0 → reihai (383 / 383) ✅ | [chienan.58b3fecd3230.csv] bodai:102, chienan:178, go:42, reihai:5, rendai:54 → chienan (178 / 381) ✅",0.625,59.33,59.33
medium_overlap_no_benzene_no_alcohol,30,15,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",59.57,54.14,80.46,37.34,86.44,40.13,"[rendai.c6effaa6260e.csv] bodai:13, chienan:31, go:32, reihai:2, rendai:48 → rendai (48 / 126) ✅ | [bodai.a4c24f0cd466.csv] bodai:73, chienan:40, go:12, reihai:1, rendai:1 → bodai (73 / 127) ✅ | [go.6152c50431f8.csv] bodai:14, chienan:51, go:56, reihai:0, rendai:6 → go (56 / 127) ✅ | [reihai.03498d9d973f.csv] bodai:0, chienan:0, go:0, reihai:127, rendai:0 → reihai (127 / 127) ✅ | [chienan.58b3fecd3230.csv] bodai:15, chienan:90, go:16, reihai:2, rendai:3 → chienan (90 / 126) ✅",0.622,59.57,59.57
medium_overlap_no_benzene,30,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],80.53,69.68,83.39,76.47,97.1,76.05,"[rendai.c6effaa6260e.csv] bodai:5, chienan:2, go:52, reihai:3, rendai:66 → rendai (66 / 128) ✅ | [bodai.a4c24f0cd466.csv] bodai:51, chienan:10, go:23, reihai:2, rendai:42 → bodai (51 / 128) ✅ | [go.6152c50431f8.csv] bodai:3, chienan:2, go:79, reihai:3, rendai:41 → go (79 / 128) ✅ | [reihai.03498d9d973f.csv] bodai:0, chienan:0, go:0, reihai:128, rendai:0 → reihai (128 / 128) ✅ | [chienan.58b3fecd3230.csv] bodai:15, chienan:68, go:21, reihai:23, rendai:1 → chienan (68 / 128) ✅",0.613,80.53,80.53
no_overlap_short_no_benzene,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",74.55,68.42,79.19,73.59,91.03,60.37,"[rendai.c6effaa6260e.csv] bodai:24, chienan:2, go:27, reihai:1, rendai:41 → rendai (41 / 95) ✅ | [bodai.a4c24f0cd466.csv] bodai:52, chienan:13, go:12, reihai:3, rendai:16 → bodai (52 / 96) ✅ | [go.6152c50431f8.csv] bodai:18, chienan:5, go:45, reihai:9, rendai:19 → go (45 / 96) ✅ | [reihai.03498d9d973f.csv] bodai:0, chienan:0, go:0, reihai:96, rendai:0 → reihai (96 / 96) ✅ | [chienan.58b3fecd3230.csv] bodai:13, chienan:55, go:4, reihai:16, rendai:7 → chienan (55 / 95) ✅",0.604,74.55,74.55
medium_overlap_first_6,30,15,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],76.37,74.84,72.76,66.99,87.42,79.61,"[rendai.c6effaa6260e.csv] bodai:20, chienan:3, go:20, reihai:3, rendai:82 → rendai (82 / 128) ✅ | [bodai.a4c24f0cd466.csv] bodai:74, chienan:10, go:9, reihai:3, rendai:32 → bodai (74 / 128) ✅ | [go.6152c50431f8.csv] bodai:15, chienan:4, go:49, reihai:13, rendai:47 → go (49 / 128) ✅ | [reihai.03498d9d973f.csv] bodai:3, chienan:6, go:0, reihai:96, rendai:23 → reihai (96 / 128) ✅ | [chienan.58b3fecd3230.csv] bodai:17, chienan:77, go:13, reihai:18, rendai:3 → chienan (77 / 128) ✅",0.591,76.37,76.37
short_overlap_no_benzene_no_alcohol,10,5,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",56.97,55.25,52.4,30.04,75.62,71.05,"[rendai.c6effaa6260e.csv] bodai:60, chienan:24, go:42, reihai:0, rendai:255 → rendai (255 / 381) ✅ | [bodai.a4c24f0cd466.csv] bodai:224, chienan:68, go:36, reihai:2, rendai:53 → bodai (224 / 383) ✅ | [go.6152c50431f8.csv] bodai:54, chienan:98, go:119, reihai:3, rendai:109 → go (119 / 383) ✅ | [reihai.03498d9d973f.csv] bodai:0, chienan:0, go:0, reihai:383, rendai:0 → reihai (383 / 383) ✅ | [chienan.58b3fecd3230.csv] bodai:85, chienan:146, go:59, reihai:7, rendai:84 → chienan (146 / 381) ✅",0.59,56.97,56.97
short_overlap_no_benzene,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",69.31,56.02,69.69,71.76,78.95,69.88,"[rendai.c6effaa6260e.csv] bodai:83, chienan:11, go:81, reihai:11, rendai:200 → rendai (200 / 386) ✅ | [bodai.a4c24f0cd466.csv] bodai:171, chienan:35, go:70, reihai:7, rendai:105 → bodai (171 / 388) ✅ | [go.6152c50431f8.csv] bodai:72, chienan:10, go:226, reihai:22, rendai:58 → go (226 / 388) ✅ | [reihai.03498d9d973f.csv] bodai:1, chienan:0, go:0, reihai:387, rendai:0 → reihai (387 / 388) ✅ | [chienan.58b3fecd3230.csv] bodai:127, chienan:140, go:45, reihai:16, rendai:58 → chienan (140 / 386) ✅",0.58,69.31,69.31
no_overlap_short_first_6,20,20,"[0, 1, 2, 3, 4, 5]","['diff_data_like', 'highpass_fft_batch']",68.39,70.26,75.34,72.84,53.42,69.72,"[rendai.c6effaa6260e.csv] bodai:16, chienan:0, go:15, reihai:4, rendai:60 → rendai (60 / 95) ✅ | [bodai.a4c24f0cd466.csv] bodai:49, chienan:4, go:6, reihai:10, rendai:27 → bodai (49 / 96) ✅ | [go.6152c50431f8.csv] bodai:16, chienan:0, go:48, reihai:2, rendai:30 → go (48 / 96) ✅ | [reihai.03498d9d973f.csv] bodai:1, chienan:2, go:0, reihai:76, rendai:17 → reihai (76 / 96) ✅ | [chienan.58b3fecd3230.csv] bodai:16, chienan:42, go:13, reihai:19, rendai:5 → chienan (42 / 95) ✅",0.575,68.39,68.39
no_overlap_long_no_benzene,100,100,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],54.91,56.82,82.22,6.67,68.89,60.0,"[rendai.c6effaa6260e.csv] bodai:6, chienan:0, go:0, reihai:0, rendai:13 → rendai (13 / 19) ✅ | [bodai.a4c24f0cd466.csv] bodai:19, chienan:0, go:0, reihai:0, rendai:0 → bodai (19 / 19) ✅ | [go.6152c50431f8.csv] bodai:5, chienan:2, go:2, reihai:0, rendai:10 → rendai (10 / 19) ❌ | [reihai.03498d9d973f.csv] bodai:0, chienan:0, go:0, reihai:19, rendai:0 → reihai (19 / 19) ✅ | [chienan.58b3fecd3230.csv] bodai:5, chienan:10, go:0, reihai:0, rendai:4 → chienan (10 / 19) ✅",0.537,54.91,54.91
medium_overlap_no_benzene_no_alcohol,30,15,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],61.72,53.23,55.81,30.39,92.9,75.73,"[rendai.c6effaa6260e.csv] bodai:22, chienan:23, go:14, reihai:4, rendai:65 → rendai (65 / 128) ✅ | [bodai.a4c24f0cd466.csv] bodai:54, chienan:31, go:12, reihai:6, rendai:25 → bodai (54 / 128) ✅ | [go.6152c50431f8.csv] bodai:22, chienan:20, go:45, reihai:8, rendai:33 → go (45 / 128) ✅ | [reihai.03498d9d973f.csv] bodai:0, chienan:0, go:0, reihai:128, rendai:0 → reihai (128 / 128) ✅ | [chienan.58b3fecd3230.csv] bodai:44, chienan:50, go:11, reihai:17, rendai:6 → chienan (50 / 128) ✅",0.534,61.72,61.72
short_overlap_no_benzene,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],69.42,58.69,75.24,68.7,89.9,53.95,"[rendai.c6effaa6260e.csv] bodai:48, chienan:40, go:122, reihai:43, rendai:133 → rendai (133 / 386) ✅ | [bodai.a4c24f0cd466.csv] bodai:109, chienan:68, go:93, reihai:48, rendai:70 → bodai (109 / 388) ✅ | [go.6152c50431f8.csv] bodai:30, chienan:24, go:225, reihai:56, rendai:53 → go (225 / 388) ✅ | [reihai.03498d9d973f.csv] bodai:0, chienan:3, go:0, reihai:385, rendai:0 → reihai (385 / 388) ✅ | [chienan.58b3fecd3230.csv] bodai:33, chienan:171, go:61, reihai:106, rendai:15 → chienan (171 / 386) ✅",0.528,69.42,69.42
short_overlap_first_6,10,5,"[0, 1, 2, 3, 4, 5]","['diff_data_like', 'highpass_fft_batch']",63.16,77.55,76.91,52.5,56.26,52.35,"[rendai.c6effaa6260e.csv] bodai:127, chienan:13, go:39, reihai:44, rendai:158 → rendai (158 / 381) ✅ | [bodai.a4c24f0cd466.csv] bodai:240, chienan:29, go:33, reihai:25, rendai:56 → bodai (240 / 383) ✅ | [go.6152c50431f8.csv] bodai:98, chienan:21, go:136, reihai:57, rendai:71 → go (136 / 383) ✅ | [reihai.03498d9d973f.csv] bodai:23, chienan:32, go:9, reihai:261, rendai:58 → reihai (261 / 383) ✅ | [chienan.58b3fecd3230.csv] bodai:66, chienan:210, go:33, reihai:59, rendai:13 → chienan (210 / 381) ✅",0.526,63.16,63.16
medium_overlap_first_4,30,15,"[0, 1, 2, 3]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",46.68,47.42,72.88,31.27,42.03,39.67,"[rendai.c6effaa6260e.csv] bodai:27, chienan:15, go:13, reihai:29, rendai:42 → rendai (42 / 126) ✅ | [bodai.a4c24f0cd466.csv] bodai:57, chienan:49, go:6, reihai:13, rendai:2 → bodai (57 / 127) ✅ | [go.6152c50431f8.csv] bodai:14, chienan:32, go:57, reihai:10, rendai:14 → go (57 / 127) ✅ | [reihai.03498d9d973f.csv] bodai:12, chienan:9, go:3, reihai:77, rendai:26 → reihai (77 / 127) ✅ | [chienan.58b3fecd3230.csv] bodai:25, chienan:82, go:9, reihai:7, rendai:3 → chienan (82 / 126) ✅",0.498,46.68,46.68
